readfile	mapping_type	sequence_length	sequence_count	read_count
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	H	24	208	321
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	H	>24	2604	5984
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	N	<21	114149	354780
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	N	21	44137	141967
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	N	22	45060	144886
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	N	23	45480	131733
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	N	24	45935	167783
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	N	>24	701785	3489024
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	U	<21	25907	90138
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	U	21	1448	4342
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	U	22	1166	4015
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	U	23	1009	2843
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	U	24	938	2212
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	U	>24	14198	40875
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	P	<21	17015	102050
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	P	21	1317	12534
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	P	22	1184	10087
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	P	23	1171	11235
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	P	24	1037	13339
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	P	>24	13951	186825
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	R	<21	34983	180085
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	R	21	3151	38438
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	R	22	3094	40777
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	R	23	3094	42350
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	R	24	3073	39229
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	R	>24	46126	538558
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	H	<21	7253	19059
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	H	21	80	151
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	H	22	71	283
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	H	23	79	240
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	H	24	62	89
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	H	>24	669	1237
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	N	<21	106783	525966
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	N	21	41359	188644
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	N	22	45004	190866
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	N	23	42639	193054
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	N	24	42793	228366
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_3_S32_L001_R1_001_condensed.bam	N	>24	640415	3630129
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	U	<21	34238	109871
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	U	21	1373	4549
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	U	22	1123	4501
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	U	23	877	2461
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	U	24	788	1999
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	U	>24	11236	32817
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	P	<21	25591	123920
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	P	21	1081	8840
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	P	22	1019	7506
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	P	23	865	6915
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	P	24	807	6889
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	P	>24	10413	116117
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	R	<21	48650	211568
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	R	21	3411	36193
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	R	22	3154	33938
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	R	23	3080	33027
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	R	24	2833	29694
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	R	>24	38486	336854
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	H	<21	16177	42933
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	H	21	89	184
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	H	22	76	193
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	H	23	67	188
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	H	24	38	61
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	H	>24	516	1311
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	N	<21	128385	549223
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	N	21	49501	203657
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	N	22	55462	208787
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	N	23	47369	199071
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	N	24	43195	241185
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_4_S33_L001_R1_001_condensed.bam	N	>24	614665	2927375
