readfile	mapping_type	sequence_length	sequence_count	read_count
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	R	<21	23774	48536
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	R	21	1516	3137
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	R	22	1060	5190
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	R	23	886	2710
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	R	24	1112	1928
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	R	>24	116322	338058
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	H	<21	14867	70095
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	H	21	1414	7345
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	H	22	1014	6027
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	H	23	796	6160
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	H	24	662	1607
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	H	>24	31634	204632
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	N	<21	59375	161419
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	N	21	20398	59081
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	N	22	23700	67865
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	N	23	37927	81283
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	N	24	95159	167551
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	N	>24	341162	1008578
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	U	<21	18403	105667
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	U	21	973	6035
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	U	22	810	7048
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	U	23	758	6717
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	U	24	735	5291
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	U	>24	29605	243727
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	P	<21	11481	90813
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	P	21	494	5202
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	P	22	400	4338
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	P	23	360	3198
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	P	24	306	2308
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	P	>24	6538	60936
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	R	<21	20230	87699
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	R	21	327	1206
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	R	22	202	2088
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	R	23	165	668
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	R	24	173	653
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	R	>24	23021	86307
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	H	<21	7097	39653
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	H	21	251	1279
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	H	22	166	869
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	H	23	121	911
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	H	24	115	513
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	H	>24	5221	40691
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	N	<21	62907	323146
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	N	21	20371	104220
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	N	22	21680	130576
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	N	23	19675	99022
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	N	24	19817	90760
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_2_S28_L001_R1_001_trim_condensed.bam	N	>24	220447	1092328
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	U	<21	47217	208024
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	U	21	7241	34525
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	U	22	6382	41081
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	U	23	6449	43395
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	U	24	6449	34131
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	U	>24	244059	1310640
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	P	<21	39024	181644
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	P	21	3599	26690
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	P	22	2217	20353
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	P	23	2238	16625
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	P	24	2677	14694
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	P	>24	108179	629159
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	R	<21	31958	68022
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	R	21	2530	4721
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	R	22	1597	11771
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	R	23	1497	3319
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	R	24	1966	3051
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	R	>24	135041	371513
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	H	<21	20478	87616
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	H	21	2108	7848
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	H	22	1311	4582
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	H	23	1140	3472
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	H	24	1111	2571
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	H	>24	40452	249003
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	N	<21	92274	377939
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	N	21	31189	121750
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	N	22	32016	128071
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	N	23	38735	138151
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	N	24	63857	173110
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_3_S29_L001_R1_001_trim_condensed.bam	N	>24	429343	1814369
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	U	<21	37926	241946
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	U	21	5668	44061
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	U	22	5080	47812
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	U	23	5285	52935
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	U	24	5173	44775
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	U	>24	175163	1333088
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	P	<21	30500	191104
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	P	21	2837	32453
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	P	22	2053	49101
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	P	23	1961	20598
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	P	24	2127	23862
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	P	>24	71671	550351
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	R	<21	28823	69796
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	R	21	2006	3979
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	R	22	1190	4633
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	R	23	1208	2566
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	R	24	1493	2367
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	R	>24	105061	268536
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	H	<21	17755	90320
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	H	21	1773	7241
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	H	22	1057	4948
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	H	23	1038	10233
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	H	24	978	3069
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	H	>24	30154	184686
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	N	<21	79788	416489
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	N	21	26933	128409
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	N	22	29700	143615
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	N	23	36591	156585
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	N	24	64183	197030
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_4_S30_L001_R1_001_trim_condensed.bam	N	>24	403867	2127964
